Report Date,Summary Indicator,Summary Indicator Value
11/07/2020,Total Cases,"190,873"
11/07/2020,New Cases,"2,103"
11/07/2020,Confirmed Cases,"175,187"
11/07/2020,Probable Cases,"15,686"
11/07/2020,Total Hospitalizations,"13,022"
11/07/2020,Confirmed Hospitalizations,"12,846"
11/07/2020,Probable Hospitalizations,176
11/07/2020,Total Deaths,"3,704"
11/07/2020,Confirmed Deaths,"3,439"
11/07/2020,Probable Deaths,265
11/07/2020,Number of Outbreaks,"1,353"
11/07/2020,Number of PCR Testing Encounters,"2,766,353"
11/07/2020,Number of Outbreak Associated Cases,"29,037"
11/07/2020,Current 7-Day Percent Positivity,6%
11/07/2020,MIS-C Cases,11
11/07/2020,MIS-C Deaths,0
11/08/2020,Total Cases,"192,175"
11/08/2020,New Cases,"1,302"
11/08/2020,Confirmed Cases,"176,219"
11/08/2020,Probable Cases,"15,956"
11/08/2020,Total Hospitalizations,"13,064"
11/08/2020,Confirmed Hospitalizations,"12,886"
11/08/2020,Probable Hospitalizations,178
11/08/2020,Total Deaths,"3,707"
11/08/2020,Confirmed Deaths,"3,441"
11/08/2020,Probable Deaths,266
11/08/2020,Number of Outbreaks,"1,353"
11/08/2020,Number of Outbreak Associated Cases,"29,097"
11/08/2020,Number of PCR Testing Encounters,"2,787,106"
11/08/2020,Current 7-Day Percent Positivity,6%
11/08/2020,MIS-C Cases,11
11/08/2020,MIS-C Deaths,0
11/09/2020,Total Cases,"193,477"
11/09/2020,New Cases,"1,302"
11/09/2020,Confirmed Cases,"177,240"
11/09/2020,Probable Cases,"16,237"
11/09/2020,Total Hospitalizations,"13,116"
11/09/2020,Confirmed Hospitalizations,"12,936"
11/09/2020,Probable Hospitalizations,180
11/09/2020,Total Deaths,"3,713"
11/09/2020,Confirmed Deaths,"3,447"
11/09/2020,Probable Deaths,266
11/09/2020,Number of Outbreaks,"1,354"
11/09/2020,Number of Outbreak Associated Cases,"29,241"
11/09/2020,Number of PCR Testing Encounters,"2,802,850"
11/09/2020,Current 7-Day Percent Positivity,6.0%
11/09/2020,MIS-C Cases,11
11/09/2020,MIS-C Deaths,0
11/10/2020,Total Cases,"194,912"
11/10/2020,New Cases,"1,435"
11/10/2020,Confirmed Cases,"178,432"
11/10/2020,Probable Cases,"16,480"
11/10/2020,Total Hospitalizations,"13,183"
11/10/2020,Confirmed Hospitalizations,"12,996"
11/10/2020,Probable Hospitalizations,187
11/10/2020,Total Deaths,"3,726"
11/10/2020,Confirmed Deaths,"3,460"
11/10/2020,Probable Deaths,266
11/10/2020,Number of Outbreaks,"1,365"
11/10/2020,Number of Outbreak Associated Cases,"29,501"
11/10/2020,Number of PCR Testing Encounters,"2,820,659"
11/10/2020,Current 7-Day Percent Positivity,6.2%
11/10/2020,MIS-C Cases,11
11/10/2020,MIS-C Deaths,0
11/11/2020,Total Cases,"196,506"
11/11/2020,New Cases,"1,594"
11/11/2020,Confirmed Cases,"179,686"
11/11/2020,Probable Cases,"16,820"
11/11/2020,Total Hospitalizations,"13,273"
11/11/2020,Confirmed Hospitalizations,"13,080"
11/11/2020,Probable Hospitalizations,193
11/11/2020,Total Deaths,"3,741"
11/11/2020,Confirmed Deaths,"3,474"
11/11/2020,Probable Deaths,267
11/11/2020,Number of Outbreaks,"1,372"
11/11/2020,Number of Outbreak Associated Cases,"29,594"
11/11/2020,Number of PCR Testing Encounters,"2,841,807"
11/11/2020,Current 7-Day Percent Positivity,6.2%
11/11/2020,MIS-C Cases,11
11/11/2020,MIS-C Deaths,0
11/12/2020,Total Cases,"198,027"
11/12/2020,New Cases,"1,521"
11/12/2020,Confirmed Cases,"180,623"
11/12/2020,Probable Cases,"17,404"
11/12/2020,Total Hospitalizations,"13,339"
11/12/2020,Confirmed Hospitalizations,"13,141"
11/12/2020,Probable Hospitalizations,198
11/12/2020,Total Deaths,"3,758"
11/12/2020,Confirmed Deaths,"3,490"
11/12/2020,Probable Deaths,268
11/12/2020,Number of Outbreaks,"1,383"
11/12/2020,Number of Outbreak Associated Cases,"29,737"
11/12/2020,Number of PCR Testing Encounters,"2,853,797"
11/12/2020,Current 7-Day Percent Positivity,6.5%
11/12/2020,MIS-C Cases,11
11/12/2020,MIS-C Deaths,0
11/14/2020,Total Cases,"200,799"
11/14/2020,New Cases,"1,537"
11/14/2020,Confirmed Cases,"182,484"
11/14/2020,Probable Cases,"18,315"
11/14/2020,Total Hospitalizations,"13,480"
11/14/2020,Confirmed Hospitalizations,"13,267"
11/14/2020,Probable Hospitalizations,213
11/14/2020,Total Deaths,"3,799"
11/14/2020,Confirmed Deaths,"3,526"
11/14/2020,Probable Deaths,273
11/14/2020,Number of Outbreaks,"1,410"
11/14/2020,Number of Outbreak Associated Cases,"29,991"
11/14/2020,Number of PCR Testing Encounters,"2,887,002"
11/14/2020,Current 7-Day Percent Positivity,6.7%
11/14/2020,MIS-C Cases,11
11/14/2020,MIS-C Deaths,0
11/19/2020,Total Cases,"210,787"
11/19/2020,New Cases,"1,954"
11/19/2020,Confirmed Cases,"190,156"
11/19/2020,Probable Cases,"20,631"
11/19/2020,Total Hospitalizations,"13,815"
11/19/2020,Confirmed Hospitalizations,"13,576"
11/19/2020,Probable Hospitalizations,239
11/19/2020,Total Deaths,"3,896"
11/19/2020,Confirmed Deaths,"3,594"
11/19/2020,Probable Deaths,302
11/19/2020,Number of Outbreaks,"1,460"
11/19/2020,Number of Outbreak Associated Cases,"31,277"
11/19/2020,Number of PCR Testing Encounters,"3,007,461"
11/19/2020,Current 7-Day Percent Positivity,7.0%
11/19/2020,MIS-C Cases,11
11/19/2020,MIS-C Deaths,0
11/20/2020,Total Cases,"213,331"
11/20/2020,New Cases,"2,544"
11/20/2020,Confirmed Cases,"191,971"
11/20/2020,Probable Cases,"21,360"
11/20/2020,Total Hospitalizations,"13,914"
11/20/2020,Confirmed Hospitalizations,"13,666"
11/20/2020,Probable Hospitalizations,248
11/20/2020,Total Deaths,"3,912"
11/20/2020,Confirmed Deaths,"3,605"
11/20/2020,Probable Deaths,307
11/20/2020,Number of Outbreaks,"1,468"
11/20/2020,Number of Outbreak Associated Cases,"31,443"
11/20/2020,Number of PCR Testing Encounters,"3,035,632"
11/20/2020,Current 7-Day Percent Positivity,7.0%
11/20/2020,MIS-C Cases,11
11/20/2020,MIS-C Deaths,0
11/21/2020,Total Cases,"215,679"
11/21/2020,New Cases,"2,348"
11/21/2020,Confirmed Cases,"193,754"
11/21/2020,Probable Cases,"21,925"
11/21/2020,Total Hospitalizations,"14,017"
11/21/2020,Confirmed Hospitalizations,"13,759"
11/21/2020,Probable Hospitalizations,258
11/21/2020,Total Deaths,"3,938"
11/21/2020,Confirmed Deaths,"3,628"
11/21/2020,Probable Deaths,310
11/21/2020,Number of Outbreaks,"1,476"
11/21/2020,Number of Outbreak Associated Cases,"31,653"
11/21/2020,Number of PCR Testing Encounters,"3,071,135"
11/21/2020,Current 7-Day Percent Positivity,6.7%
11/21/2020,MIS-C Cases,11
11/21/2020,MIS-C Deaths,0
11/01/2020,Total Cases,"182,392"
11/01/2020,New Cases,"1,202"
11/01/2020,Confirmed Cases,"168,675"
11/01/2020,Probable Cases,"13,717"
11/01/2020,Total Hospitalizations,"12,647"
11/01/2020,Confirmed Hospitalizations,"12,495"
11/01/2020,Probable Hospitalizations,152
11/01/2020,Total Deaths,"3,655"
11/01/2020,Confirmed Deaths,"3,399"
11/01/2020,Probable Deaths,256
11/01/2020,Number of Outbreaks,"1,300"
11/01/2020,Number of Outbreak Associated Cases,"28,019"
11/01/2020,Number of PCR Testing Encounters,"2,647,659"
11/01/2020,Current 7-Day Percent Positivity,5.70%
11/01/2020,MIS-C Cases,11
11/01/2020,MIS-C Deaths,0
11/02/2020,Total Cases,"183,418"
11/02/2020,New Cases,"1,026"
11/02/2020,Confirmed Cases,"169,512"
11/02/2020,Probable Cases,"13,906"
11/02/2020,Total Hospitalizations,"12,674"
11/02/2020,Confirmed Hospitalizations,"12,522"
11/02/2020,Probable Hospitalizations,152
11/02/2020,Total Deaths,"3,658"
11/02/2020,Confirmed Deaths,"3,402"
11/02/2020,Probable Deaths,256
11/02/2020,Number of Outbreaks,"1,304"
11/02/2020,Number of Outbreak Associated Cases,"28,120"
11/02/2020,Number of PCR Testing Encounters,"2,663,155"
11/02/2020,Current 7-Day Percent Positivity,5.70%
11/02/2020,MIS-C Cases,11
11/02/2020,MIS-C Deaths,0
11/03/2020,Total Cases,"184,679"
11/03/2020,New Cases,"1,261"
11/03/2020,Confirmed Cases,"170,577"
11/03/2020,Probable Cases,"14,102"
11/03/2020,Total Hospitalizations,"12,739"
11/03/2020,Confirmed Hospitalizations,"12,583"
11/03/2020,Probable Hospitalizations,156
11/03/2020,Total Deaths,"3,666"
11/03/2020,Confirmed Deaths,"3,408"
11/03/2020,Probable Deaths,258
11/03/2020,Number of Outbreaks,"1,315"
11/03/2020,Number of Outbreak Associated Cases,"28,329"
11/03/2020,Number of PCR Testing Encounters,"2,685,669"
11/03/2020,Current 7-Day Percent Positivity,5.70%
11/03/2020,MIS-C Cases,11
11/03/2020,MIS-C Deaths,0
11/04/2020,Total Cases,"185,836"
11/04/2020,New Cases,"1,157"
11/04/2020,Confirmed Cases,"171,426"
11/04/2020,Probable Cases,"14,410"
11/04/2020,Total Hospitalizations,"12,797"
11/04/2020,Confirmed Hospitalizations,"12,631"
11/04/2020,Probable Hospitalizations,166
11/04/2020,Total Deaths,"3,677"
11/04/2020,Confirmed Deaths,"3,416"
11/04/2020,Probable Deaths,261
11/04/2020,Number of Outbreaks,"1,317"
11/04/2020,Number of Outbreak Associated Cases,"28,407"
11/04/2020,Number of PCR Testing Encounters,"2,700,765"
11/04/2020,Current 7-Day Percent Positivity,5.70%
11/04/2020,MIS-C Cases,11
11/04/2020,MIS-C Deaths,0
11/05/2020,Total Cases,"187,202"
11/05/2020,New Cases,"1,366"
11/05/2020,Confirmed Cases,"172,418"
11/05/2020,Probable Cases,"14,784"
11/05/2020,Total Hospitalizations,"12,865"
11/05/2020,Confirmed Hospitalizations,"12,695"
11/05/2020,Probable Hospitalizations,170
11/05/2020,Total Deaths,"3,688"
11/05/2020,Confirmed Deaths,"3,426"
11/05/2020,Probable Deaths,262
11/05/2020,Number of Outbreaks,"1,334"
11/05/2020,Number of PCR Testing Encounters,"2,719,206"
11/05/2020,Number of Outbreak Associated Cases,"28,749"
11/05/2020,Current 7-Day Percent Positivity,5.70%
11/05/2020,MIS-C Cases,11
11/05/2020,MIS-C Deaths,0
11/06/2020,Total Cases,"188,770"
11/06/2020,New Cases,"1,568"
11/06/2020,Confirmed Cases,"173,645"
11/06/2020,Probable Cases,"15,125"
11/06/2020,Total Hospitalizations,"12,936"
11/06/2020,Confirmed Hospitalizations,"12,762"
11/06/2020,Probable Hospitalizations,174
11/06/2020,Total Deaths,"3,682"
11/06/2020,Confirmed Deaths,"3,432"
11/06/2020,Probable Deaths,250
11/06/2020,Number of Outbreaks,"1,341"
11/06/2020,Number of Outbreak Associated Cases,"28,859"
11/06/2020,Number of PCR Testing Encounters,"2,743,229"
11/06/2020,Current 7-Day Percent Positivity,5.90%
11/06/2020,MIS-C Cases,11
11/06/2020,MIS-C Deaths,0
11/13/2020,Total Cases,"199,262"
11/13/2020,New Cases,"1,235"
11/13/2020,Confirmed Cases,"181,476"
11/13/2020,Probable Cases,"17,786"
11/13/2020,Total Hospitalizations,"13,408"
11/13/2020,Confirmed Hospitalizations,"13,204"
11/13/2020,Probable Hospitalizations,204
11/13/2020,Total Deaths,"3,785"
11/13/2020,Confirmed Deaths,"3,513"
11/13/2020,Probable Deaths,272
11/13/2020,Number of Outbreaks,"1,399"
11/13/2020,Number of Outbreak Associated Cases,"29,930"
11/13/2020,Number of PCR Testing Encounters,"2,864,009"
11/13/2020,Current 7-Day Percent Positivity,6.50%
11/13/2020,MIS-C Cases,11
11/13/2020,MIS-C Deaths,0
11/15/2020,Total Cases,"201,960"
11/15/2020,New Cases,"1,161"
11/15/2020,Confirmed Cases,"183,454"
11/15/2020,Probable Cases,"18,506"
11/15/2020,Total Hospitalizations,"13,504"
11/15/2020,Confirmed Hospitalizations,"13,290"
11/15/2020,Probable Hospitalizations,214
11/15/2020,Total Deaths,"3,800"
11/15/2020,Confirmed Deaths,"3,527"
11/15/2020,Probable Deaths,273
11/15/2020,Number of Outbreaks,"1,417"
11/15/2020,Number of Outbreak Associated Cases,"30,257"
11/15/2020,Number of PCR Testing Encounters,"2,920,737"
11/15/2020,Current 7-Day Percent Positivity,7.0%
11/15/2020,MIS-C Cases,11
11/15/2020,MIS-C Deaths,0
11/16/2020,Total Cases,"204,637"
11/16/2020,New Cases,"2,677"
11/16/2020,Confirmed Cases,"185,525"
11/16/2020,Probable Cases,"19,112"
11/16/2020,Total Hospitalizations,"13,552"
11/16/2020,Confirmed Hospitalizations,"13,332"
11/16/2020,Probable Hospitalizations,220
11/16/2020,Total Deaths,"3,806"
